TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
23503,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2550 Van Ness Ave,4,Sidewalk: Curb side : Cutout,Private,,12,3X3,37.79934827,-122.4239674
229938,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,4152 26th St,1,Sidewalk: Curb side : Cutout,Private,,5,Width 4ft,37.74821476,-122.4327151
12839,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2306 Lake St,2,Sidewalk: Curb side : Cutout,DPW,,16,3X3,37.78585616,-122.4844214
234817,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1607 Market St,6,Sidewalk: Curb side : Cutout,Private,,18,Width 4ft,37.77465301,-122.4196827
224874,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',630 Chenery St,3,Sidewalk: Curb side : Cutout,Private,,13,Width 1ft,37.73457875,-122.4329646
134219,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1940 Broadway,6,Sidewalk: Curb side : Cutout,Private,,13,Width 4ft,37.79510704,-122.4291464
127659,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',379 Hayes St,2,Sidewalk: Curb side : Cutout,Private,,14,Width 5ft,37.77686591,-122.4225608
27755,DPW Maintained,Lophostemon confertus :: Brisbane Box,1299 Cesar Chavez St,8,Sidewalk: Curb side : Cutout,DPW,4/6/02 0:00,3,3X3,37.75005051,-122.3904013
33807,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2007 Pacific Ave,1,Sidewalk: Curb side : Cutout,Private,11/26/96 0:00,7,,37.79407223,-122.4285665
228070,DPW Maintained,Lophostemon confertus :: Brisbane Box,15 Elk St,5,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.73684188,-122.4397579
134175,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2266 California St,5,Sidewalk: Curb side : Cutout,Private,,15,Width 4ft,37.78931015,-122.4314277
236988,DPW Maintained,Prunus cerasifera :: Cherry Plum,320 Highland Ave,1,Sidewalk: Curb side : Cutout,Private,,10,Width 3ft,37.73706601,-122.4183117
91945,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,843 Irving St,1,Sidewalk: Curb side : Cutout,DPW,2/19/09 0:00,3,3x3,37.76396175,-122.4667711
24594,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,511 Cortland Ave,1,Sidewalk: Curb side : Cutout,Private,,12,3X3,37.73909812,-122.4163018
139488,DPW Maintained,Pittosporum undulatum :: Victorian Box,803 DIVISADERO ST,1,Sidewalk: Curb side : Cutout,Private,,7,Width 0ft,37.77703738,-122.4383179
137860,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2345 CALIFORNIA ST,1,Sidewalk: Curb side : Cutout,Private,,12,Width 0ft,37.78894168,-122.432883
22111,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,3600X 03rd St,3,Sidewalk: Curb side : Cutout,DPW,,6,3X3,37.7440776,-122.3876032
130751,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2692 Broadway,9,Sidewalk: Property side : Yard,Private,,5,Width 5ft,37.79335822,-122.4412824
242200,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,99 Belcher St,2,Sidewalk: Curb side : Cutout,Private,,6,Width 2ft,37.76784298,-122.4300396
2796,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1000X California St,1,Sidewalk: Curb side : Cutout,Private,,35,3X3,37.79190395,-122.4110464
128117,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2300 Stockton St,8,Sidewalk: Curb side : Cutout,Private,,15,Width 3ft,37.80751379,-122.4105378
65599,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,44 Maynard St,1,Sidewalk: Curb side : Cutout,Private,2/6/90 0:00,14,,37.72916483,-122.4296245
117669,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,7807 Geary Blvd,2,Sidewalk: Curb side : Cutout,Private,,8,Width 3ft,37.77912942,-122.5031813
250511,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,75 27th Ave,4,Sidewalk: Curb side : Yard,Private,,13,Width 5ft,37.78806833,-122.4876916
241506,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,5235 Diamond Heights Blvd,3,Sidewalk: Curb side : Cutout,Private,,1,Width 2ft,37.74427858,-122.4385772
88391,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,278 22nd Ave,,Sidewalk: Curb side : Cutout,Private,7/10/08 0:00,5,3x3,37.78256855,-122.481617
235568,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2929 19th St,3,Sidewalk: Curb side : Cutout,Private,,17,Width 4ft,37.76035006,-122.4114135
192013,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',665 03rd St,2,Sidewalk: Curb side : Cutout,Private,,22,Width 3ft,37.77934078,-122.3932063
4148,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,3631 Cesar Chavez St,1,Sidewalk: Curb side : Cutout,DPW,2/17/99 0:00,3,3X3,37.74793492,-122.4217293
